id,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition
9328698,2000,APARTMENT,APARTMENT,259000,1,78,1,0,0,1,2,0,0,0,2,0,AS_NEW
9366188,1020,APARTMENT,APARTMENT,220000,2,90,1,0,0,1,15,0,0,0,2,0,GOOD
9335292,1080,HOUSE,APARTMENT_BLOCK,1045000,8,460,1,0,0,1,15,0,0,160,2,0,TO_RENOVATE
9339254,4530,HOUSE,HOUSE,130000,3,,0,0,0,0,0,1,0,225,3,0,TO_RENOVATE
9415500,2470,APARTMENT,APARTMENT,149000,1,,1,0,0,0,0,0,0,0,,0,GOOD
9406562,9400,APARTMENT,APARTMENT,245000,3,105,1,0,0,1,4,0,0,0,2,0,TO_BE_DONE_UP
9426165,1160,HOUSE,HOUSE,275000,2,80,0,0,0,1,16,0,0,50,2,0,TO_RENOVATE
9379968,4040,APARTMENT,APARTMENT,159000,3,95,0,1,0,0,0,0,0,0,2,0,JUST_RENOVATED
9398068,2018,APARTMENT,SERVICE_FLAT,100000,1,61,0,0,0,1,0,0,0,0,2,0,TO_RENOVATE
8568034,7000,HOUSE,APARTMENT_BLOCK,360000,4,165,1,0,0,0,0,0,0,0,2,0,AS_NEW
9363127,8780,HOUSE,HOUSE,282500,3,157,0,0,0,0,0,0,0,225,3,0,AS_NEW
9417450,2890,APARTMENT,APARTMENT,210000,2,80,1,0,0,0,0,0,0,0,2,0,TO_BE_DONE_UP
9337690,1560,HOUSE,HOUSE,369000,3,130,1,0,0,0,0,0,0,0,,0,GOOD
9108002,1090,APARTMENT,LOFT,440000,3,178,1,0,0,0,0,0,0,0,2,0,AS_NEW
9294946,4000,APARTMENT,FLAT_STUDIO,85000,0,34,1,0,0,1,4,0,0,0,2,0,GOOD
9354480,5550,HOUSE,HOUSE,150000,4,150,1,0,0,0,0,0,0,0,3,0,GOOD
9297723,8301,APARTMENT,GROUND_FLOOR,345000,1,65,1,0,0,0,0,0,0,0,2,0,GOOD
9207190,1600,HOUSE,HOUSE,810000,5,400,1,0,1,1,0,0,0,1747,4,0,AS_NEW
9257231,1070,HOUSE,HOUSE,350000,3,,1,0,0,0,0,0,0,0,2,0,GOOD
9399983,8791,APARTMENT,APARTMENT,208460,1,74,0,1,0,1,23,0,0,0,2,0,AS_NEW
9433364,2600,HOUSE,MIXED_USE_BUILDING,1095000,3,550,0,0,0,1,6,1,15,125,2,0,GOOD
4259895,6670,HOUSE,HOUSE,255000,4,187,0,0,0,1,0,0,0,446,3,0,TO_BE_DONE_UP
9404003,8490,HOUSE,HOUSE,347500,3,145,1,0,0,1,0,1,0,377,,0,GOOD
9372242,3890,HOUSE,HOUSE,289000,3,175,1,0,0,1,0,1,683,746,4,0,AS_NEW
9387800,7387,HOUSE,HOUSE,300000,2,186,1,0,0,1,0,0,0,11264,4,0,TO_BE_DONE_UP
9425843,6940,HOUSE,CHALET,119000,2,40,1,1,0,1,16,1,986,986,4,0,TO_RENOVATE
9418540,9800,APARTMENT,APARTMENT,159000,2,74,0,0,0,0,0,0,0,0,,0,TO_BE_DONE_UP
9180686,9700,APARTMENT,APARTMENT,239000,2,113,1,0,0,0,0,0,0,0,,0,AS_NEW
